index,raw_value,sorted_value,exact,mse,count_sketch_ms,exact_f2_ms,counter_bitwidth
92,11559124,11560108,11184812,66618588121.6,869452.9652,14386.4247,12
93,11479308,11564932,11184812,66618588121.6,869452.9652,14386.4247,12
94,11058236,11570028,11184812,66618588121.6,869452.9652,14386.4247,12
95,11300556,11625516,11184812,66618588121.6,869452.9652,14386.4247,12
96,10859892,11634340,11184812,66618588121.6,869452.9652,14386.4247,12
97,11483556,11689468,11184812,66618588121.6,869452.9652,14386.4247,12
98,11196044,11704404,11184812,66618588121.6,869452.9652,14386.4247,12
99,11313676,11761284,11184812,66618588121.6,869452.9652,14386.4247,12
100,11440332,12003588,11184812,66618588121.6,869452.9652,14386.4247,12
1,11191748,11171932,11184812,28722244.48,1031013.9714,14386.4247,23
2,11183404,11172876,11184812,28722244.48,1031013.9714,14386.4247,23
3,11188028,11175116,11184812,28722244.48,1031013.9714,14386.4247,23
4,11181044,11175420,11184812,28722244.48,1031013.9714,14386.4247,23
5,11185308,11177204,11184812,28722244.48,1031013.9714,14386.4247,23
6,11188308,11177484,11184812,28722244.48,1031013.9714,14386.4247,23
7,11182844,11178388,11184812,28722244.48,1031013.9714,14386.4247,23
8,11187580,11178716,11184812,28722244.48,1031013.9714,14386.4247,23
9,11178388,11179452,11184812,28722244.48,1031013.9714,14386.4247,23
10,11184660,11179636,11184812,28722244.48,1031013.9714,14386.4247,23
11,11195860,11180388,11184812,28722244.48,1031013.9714,14386.4247,23
12,11190844,11180388,11184812,28722244.48,1031013.9714,14386.4247,23
13,11187828,11180500,11184812,28722244.48,1031013.9714,14386.4247,23
14,11184452,11180660,11184812,28722244.48,1031013.9714,14386.4247,23
15,11187252,11180692,11184812,28722244.48,1031013.9714,14386.4247,23
16,11187844,11180692,11184812,28722244.48,1031013.9714,14386.4247,23
17,11183148,11181044,11184812,28722244.48,1031013.9714,14386.4247,23
18,11178716,11181244,11184812,28722244.48,1031013.9714,14386.4247,23
19,11175116,11181372,11184812,28722244.48,1031013.9714,14386.4247,23
20,11181372,11181372,11184812,28722244.48,1031013.9714,14386.4247,23
21,11184844,11181868,11184812,28722244.48,1031013.9714,14386.4247,23
22,11197100,11181956,11184812,28722244.48,1031013.9714,14386.4247,23
23,11182140,11182060,11184812,28722244.48,1031013.9714,14386.4247,23
24,11186884,11182140,11184812,28722244.48,1031013.9714,14386.4247,23
25,11192412,11182620,11184812,28722244.48,1031013.9714,14386.4247,23
26,11191612,11182844,11184812,28722244.48,1031013.9714,14386.4247,23
27,11190068,11182988,11184812,28722244.48,1031013.9714,14386.4247,23
28,11172876,11183036,11184812,28722244.48,1031013.9714,14386.4247,23
29,11197940,11183148,11184812,28722244.48,1031013.9714,14386.4247,23
30,11184988,11183212,11184812,28722244.48,1031013.9714,14386.4247,23
31,11190444,11183380,11184812,28722244.48,1031013.9714,14386.4247,23
32,11190556,11183404,11184812,28722244.48,1031013.9714,14386.4247,23
33,11180388,11183404,11184812,28722244.48,1031013.9714,14386.4247,23
34,11183036,11183524,11184812,28722244.48,1031013.9714,14386.4247,23
35,11198812,11183900,11184812,28722244.48,1031013.9714,14386.4247,23
36,11181372,11183924,11184812,28722244.48,1031013.9714,14386.4247,23
37,11191284,11184004,11184812,28722244.48,1031013.9714,14386.4247,23
38,11187260,11184260,11184812,28722244.48,1031013.9714,14386.4247,23
39,11189716,11184452,11184812,28722244.48,1031013.9714,14386.4247,23
40,11179636,11184460,11184812,28722244.48,1031013.9714,14386.4247,23
41,11189900,11184604,11184812,28722244.48,1031013.9714,14386.4247,23
42,11184460,11184612,11184812,28722244.48,1031013.9714,14386.4247,23
43,11191212,11184660,11184812,28722244.48,1031013.9714,14386.4247,23
44,11184604,11184660,11184812,28722244.48,1031013.9714,14386.4247,23
45,11190868,11184716,11184812,28722244.48,1031013.9714,14386.4247,23
46,11185612,11184844,11184812,28722244.48,1031013.9714,14386.4247,23
47,11187196,11184988,11184812,28722244.48,1031013.9714,14386.4247,23
48,11182988,11185036,11184812,28722244.48,1031013.9714,14386.4247,23
49,11191916,11185044,11184812,28722244.48,1031013.9714,14386.4247,23
50,11198316,11185308,11184812,28722244.48,1031013.9714,14386.4247,23
51,11183900,11185364,11184812,28722244.48,1031013.9714,14386.4247,23
52,11181244,11185612,11184812,28722244.48,1031013.9714,14386.4247,23
53,11189356,11186004,11184812,28722244.48,1031013.9714,14386.4247,23
54,11183380,11186236,11184812,28722244.48,1031013.9714,14386.4247,23
55,11179452,11186700,11184812,28722244.48,1031013.9714,14386.4247,23
56,11180692,11186884,11184812,28722244.48,1031013.9714,14386.4247,23
57,11187548,11187124,11184812,28722244.48,1031013.9714,14386.4247,23
58,11186700,11187196,11184812,28722244.48,1031013.9714,14386.4247,23
59,11190980,11187252,11184812,28722244.48,1031013.9714,14386.4247,23
60,11188284,11187260,11184812,28722244.48,1031013.9714,14386.4247,23
61,11185044,11187348,11184812,28722244.48,1031013.9714,14386.4247,23
62,11184716,11187476,11184812,28722244.48,1031013.9714,14386.4247,23
63,11188436,11187484,11184812,28722244.48,1031013.9714,14386.4247,23
64,11183404,11187548,11184812,28722244.48,1031013.9714,14386.4247,23
65,11171932,11187580,11184812,28722244.48,1031013.9714,14386.4247,23
66,11184612,11187828,11184812,28722244.48,1031013.9714,14386.4247,23
67,11180500,11187844,11184812,28722244.48,1031013.9714,14386.4247,23
68,11180660,11188028,11184812,28722244.48,1031013.9714,14386.4247,23
69,11192132,11188124,11184812,28722244.48,1031013.9714,14386.4247,23
70,11190060,11188148,11184812,28722244.48,1031013.9714,14386.4247,23
71,11180692,11188284,11184812,28722244.48,1031013.9714,14386.4247,23
72,11185364,11188308,11184812,28722244.48,1031013.9714,14386.4247,23
73,11194868,11188436,11184812,28722244.48,1031013.9714,14386.4247,23
74,11175420,11189052,11184812,28722244.48,1031013.9714,14386.4247,23
75,11188124,11189356,11184812,28722244.48,1031013.9714,14386.4247,23
76,11193212,11189716,11184812,28722244.48,1031013.9714,14386.4247,23
77,11187484,11189900,11184812,28722244.48,1031013.9714,14386.4247,23
78,11187476,11189964,11184812,28722244.48,1031013.9714,14386.4247,23
79,11184660,11190060,11184812,28722244.48,1031013.9714,14386.4247,23
80,11187124,11190068,11184812,28722244.48,1031013.9714,14386.4247,23
81,11188148,11190444,11184812,28722244.48,1031013.9714,14386.4247,23
82,11183524,11190556,11184812,28722244.48,1031013.9714,14386.4247,23
83,11186236,11190844,11184812,28722244.48,1031013.9714,14386.4247,23
84,11183924,11190868,11184812,28722244.48,1031013.9714,14386.4247,23
85,11193404,11190980,11184812,28722244.48,1031013.9714,14386.4247,23
86,11182060,11191212,11184812,28722244.48,1031013.9714,14386.4247,23
87,11189052,11191284,11184812,28722244.48,1031013.9714,14386.4247,23
88,11184260,11191612,11184812,28722244.48,1031013.9714,14386.4247,23
89,11181956,11191748,11184812,28722244.48,1031013.9714,14386.4247,23
90,11187348,11191916,11184812,28722244.48,1031013.9714,14386.4247,23
91,11177484,11192132,11184812,28722244.48,1031013.9714,14386.4247,23
92,11182620,11192412,11184812,28722244.48,1031013.9714,14386.4247,23
93,11186004,11193212,11184812,28722244.48,1031013.9714,14386.4247,23
94,11177204,11193404,11184812,28722244.48,1031013.9714,14386.4247,23
95,11181868,11194868,11184812,28722244.48,1031013.9714,14386.4247,23
96,11189964,11195860,11184812,28722244.48,1031013.9714,14386.4247,23
97,11185036,11197100,11184812,28722244.48,1031013.9714,14386.4247,23
98,11180388,11197940,11184812,28722244.48,1031013.9714,14386.4247,23
99,11183212,11198316,11184812,28722244.48,1031013.9714,14386.4247,23
100,11184004,11198812,11184812,28722244.48,1031013.9714,14386.4247,23
